"UPDATES_Mailchimp Service Title";"MailChimp Settings"
"UPDATES_Mailchimp Description";"Please go to MailChimp.com to get your Api key. MailChimp sends mass email by lists. You need to create a special list which will linked with this SocialEngine.<br />
MailChimp has own subscribers database which is used in mass email campaigns, so please click on `Export members to Mailchimp` button to send copy of email addresses to MailChimp."
"UPDATES_Sendgrid Service Title";"SendGrid Settings"
"UPDATES_Sendgrid Description";"Please fulfil here your SendGrid account details:"
"UPDATES_Password";"Password"
"UPDATES_Username";"Username"
"UPDATES_SendGrid changes have been successfully saved.";"SendGrid changes have been successfully saved."
"UPDATES_Current mail service:";"Emails are sending via:"
"UPDATES_SocialEngine Mail Settings";"Check here standard SocialEngine Mail Settings"
"UPDATES_Set this mail service";"Set This Email Service"
"UPDATES_Successfully saved";"Changes have been successfully saved."
"UPDATES_Subscribe registered recipients";"Submit members"
"UPDATES_Subscribe Members Title";"Submit Members"
"UPDATES_Subscribe Members Description";""
"UPDATES_Subscribing message has been sent successfully to %s reciever";"Subscribing message has been sent successfully to %s receiver"
"HE - Newsletter Updates";"HE - Newsletter Updates"
"UPDATES_Tasks";"Tasks"
"Tasks";"Tasks"
"UPDATES_Updates Tasks";"Updates Tasks"
"UPDATES_Campaign Tasks";"Campaign Tasks"
"UPDATES_No task has been created yet.";"No task has been created yet."
"UPDATES_ID";"ID"
"UPDATES_Progress";"Progress"
"UPDATES_The updates has been sent to %s recipients in %s";"The updates has been sent to %s recipients in %s"
"UPDATES_The campaign has been sent to %s recipients in %s";"The campaign has been sent to %s recipients in %s"
"UPDATES_Status";"Status"
"UPDATES_Active";"Active"
"UPDATES_Cancelled";"Cancelled"
"UPDATES_Completed";"Completed"
"UPDATES_Type";"Type"
"UPDATES_Tasks Title";"Tasks"
"UPDATES_Tasks Description";"Here you can view progress of your mass emails in real-time. If you have sent mass email by mistake then here you can cancel or delete this process."
"UPDATES_Task has been deleted successfully";"Task has been deleted successfully"
"UPDATES_Delete Task Title";"Delete Task"
"UPDATES_Delete Task Description";"Are you sure you want to delete this task?"
"UPDATES_Delete Task";"Delete Task"
"UPDATES_Scheduled";"Scheduled"
"UPDATES_Are you sure you want to send this campaign?";"Are you sure you want to send this campaign?"
"UPDATES_Delete Selected Subscribers";"Delete Selected Subscribers"
"UPDATES_Are you sure you want to delete selected subscribers?";"Are you sure you want to delete selected subscribers?"
"UPDATES_Delete Subscribers";"Delete Subscribers"
"UPDATES_Selected subscribers have been deleted successfully";"Selected subscribers have been deleted successfully"
"UPDATES_Recipients in Mailchimp";"Recipients in Mailchimp"
"UPDATES_Total Recipients in Mailchimp:";"Total Recipients in Mailchimp:"
"UPDATES_Generate List Name";"Generate List Name"
"UPDATES_Export members to Mailchimp";"Export members to Mailchimp"
"UPDATES_Would you like to export members to list '%s' in Mailchimp?";"Would you like to export members to '%s' list in Mailchimp?"
"UPDATES_Export Members";"Export Members"
"UPDATES_Export Members Title";"Export Members to MailChimp"
"UPDATES_Export Members Description";""
"UPDATES_Exporting members has been finished successfully";"Exporting members process has been completed successfully."
"UPDATES_List ID";"List ID:"
"UPDATES_Get list ID";"Get list ID"
"UPDATES_List name is empty! Please fill in it and try again.";"List name is empty! Please fill in it and try again."
"UPDATES_Error: Unable to load required list!";"Error: Unable to load required list!"
"UPDATES_Not found required list. Please check list name.";"The list with the required name is not found! Please make sure that the list name is exact as shown here."
"UPDATES_More listings...";"More listings..."
"UPDATES_More documents...";"More documents..."
"UPDATES_More badges...";"More badges..."
"UPDATES_More advanced articles...";"More advanced articles..."
"UPDATES_Please, provide email address!!!";"Please provide email address!!!"
"UPDATES_More jobs...";"More jobs..."
"UPDATES_List is not found! Please check it and try again.";"The list with the required name is not found! Please make sure that the list name is exact as shown here."
"UPDATES_LIST_NAME_DESCRIPTION";"Create a list with the exact name at MailChimp."
"pagetitle-updates-index-admin-services";"Mail Services"
"pagetitle-updates-index-admin-tasks";"Tasks"
"Mail Services";"Mail Services"
"UPDATES_Selected tasks have been deleted successfully";"Selected tasks have been deleted successfully"
"UPDATES_Delete Selected Tasks";"Delete Selected Tasks"
"UPDATES_Delete Selected Tasks Description";"Are you sure you want to delete selected tasks?"
